generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:58.008550+00:00,42,val,blend_dl02_xgb03_lgbm05,0.5,default_0.5,0.8693279276469671,0.8599316278130992,0.9196428571428571,0.7458079268292683,0.8236531986531986,3789,2624,0.9161535075861448,0.9079295282944939,0.10765146346431063,3618,171,667,1957,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.018178+00:00,42,test,blend_dl02_xgb03_lgbm05,0.5,default_0.5,0.8674567285201934,0.8579995115082122,0.915651358950328,0.7446646341463414,0.8213535098781001,3789,2624,0.9128418110190604,0.9007823530399603,0.10959884107277723,3609,180,670,1954,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.029543+00:00,42,train,blend_dl02_xgb04_lgbm04,0.5,default_0.5,0.9122748387527988,0.9066779739666562,0.9648275195671079,0.8153682835211498,0.8838238548351405,17677,12246,0.9743022974248623,0.967619051310779,0.08542578693388987,17313,364,2261,9985,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.049612+00:00,42,val,blend_dl02_xgb04_lgbm04,0.5,default_0.5,0.8687041946047092,0.8592142261643166,0.9194915254237288,0.7442835365853658,0.8226621735467565,3789,2624,0.9157263443923039,0.9074274649850812,0.10825427106153272,3618,171,671,1953,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.060384+00:00,42,test,blend_dl02_xgb04_lgbm04,0.5,default_0.5,0.866053329175113,0.8564835983566481,0.913736521331458,0.7427591463414634,0.8194240067269287,3789,2624,0.9120241963256923,0.900048687351654,0.11038157942458285,3605,184,675,1949,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.071784+00:00,42,train,blend_dl02_xgb05_lgbm03,0.5,default_0.5,0.9083648029943522,0.9024075306601596,0.9620770128354725,0.807937285644292,0.8782956058588549,17677,12246,0.9701687339173021,0.963060827152625,0.08851247895675798,17287,390,2352,9894,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.090704+00:00,42,val,blend_dl02_xgb05_lgbm03,0.5,default_0.5,0.8673007952596289,0.8575729169627121,0.9195456696639849,0.7404725609756098,0.8203504327633523,3789,2624,0.9151349340839015,0.906798054541806,0.10891663485710516,3619,170,681,1943,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.099866+00:00,42,test,blend_dl02_xgb05_lgbm03,0.5,default_0.5,0.8646499298300327,0.8549924423401507,0.9114339268978444,0.741234756097561,0.8175704077343422,3789,2624,0.9110822647715788,0.8992181693985545,0.11122359251520542,3600,189,679,1945,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.110562+00:00,42,train,blend_dl02_xgb06_lgbm02,0.5,default_0.5,0.9030177455469037,0.8965665420190718,0.9578596628773031,0.7981381675649192,0.8707349665924277,17677,12246,0.965322948441193,0.9578564829932609,0.09169829331389319,17247,430,2472,9774,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.128045+00:00,42,val,blend_dl02_xgb06_lgbm02,0.5,default_0.5,0.8662092624356775,0.8563636369331897,0.9184834123222749,0.7385670731707317,0.8187579214195184,3789,2624,0.9143558415245673,0.9059863382165982,0.10963855491761484,3617,172,686,1938,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.136736+00:00,42,test,blend_dl02_xgb06_lgbm02,0.5,default_0.5,0.8626227974426945,0.8527825537836454,0.9089629282027217,0.7381859756097561,0.8147213459516298,3789,2624,0.9099529527064867,0.8981209609245414,0.11212487935057236,3595,194,687,1937,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.147732+00:00,42,train,blend_dl02_xgb07_lgbm01,0.5,default_0.5,0.8984059084984795,0.8915705085064647,0.9528728846910665,0.7908704883227177,0.8643462739848282,17677,12246,0.9596862035278357,0.9519798863105509,0.09498323571672157,17198,479,2561,9685,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.166206+00:00,42,val,blend_dl02_xgb07_lgbm01,0.5,default_0.5,0.8652736628722907,0.8553083923154701,0.9178537511870846,0.7366615853658537,0.8173361522198731,3789,2624,0.9134339253873536,0.9050174417808723,0.11042003284603952,3616,173,691,1933,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.175293+00:00,42,test,blend_dl02_xgb07_lgbm01,0.5,default_0.5,0.8615312646187432,0.8516256514955869,0.9071294559099438,0.7370426829268293,0.8132884777123633,3789,2624,0.9086410879696682,0.8968856048552358,0.11308544309843169,3591,198,690,1934,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.185727+00:00,42,train,blend_dl02_xgb08_lgbm00,0.5,default_0.5,0.89335962303245,0.8860390974328509,0.9485782225304666,0.7818063040992977,0.8571556470746229,17677,12246,0.9531830923849918,0.945400116887883,0.09836729640642917,17158,519,2672,9574,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.204551+00:00,42,val,blend_dl02_xgb08_lgbm00,0.5,default_0.5,0.8644939965694682,0.8544582598918959,0.9168646080760094,0.7355182926829268,0.8162402199196448,3789,2624,0.9123267409188344,0.9038485527822498,0.11126106548427642,3614,175,694,1930,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.214201+00:00,42,test,blend_dl02_xgb08_lgbm00,0.5,default_0.5,0.8584125994074536,0.8483100664111254,0.9020618556701031,0.7336128048780488,0.8091635140815469,3789,2624,0.9071282644239744,0.8954321356593794,0.11410527884910983,3580,209,699,1925,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.226318+00:00,42,train,blend_dl03_xgb00_lgbm07,0.5,default_0.5,0.9285499448584701,0.9244719917691894,0.9712793733681462,0.850563449289564,0.9069220722681759,17677,12246,0.9804270834496875,0.9750875528305288,0.08806081763931217,17369,308,1830,10416,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.248681+00:00,42,val,blend_dl03_xgb00_lgbm07,0.5,default_0.5,0.8685482613441448,0.8592778354037963,0.9155389640690621,0.7477134146341463,0.8231592196349906,3789,2624,0.9161904204404279,0.9078017505553877,0.10985652939773895,3608,181,662,1962,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.263866+00:00,42,test,blend_dl03_xgb00_lgbm07,0.5,default_0.5,0.8679245283018868,0.8587548258605093,0.9122969837587007,0.7492378048780488,0.8227662690939527,3789,2624,0.9140397186335283,0.9012017427675424,0.11130208027204112,3600,189,658,1966,weighted_blend,not_saved_candidate_probability
