generated_at_utc,seed,trial,status,objective,best_val_macro_f1,best_val_precision_fake,best_val_roc_auc,best_val_objective_score,elapsed_sec,pso_subset_ratio,pso_subset_rows,model_variant,learning_rate,dropout,cnn_filters,kernel_size,lstm_hidden,attention_dim,focal_gamma,batch_size,component_block_weights
2026-06-01T08:21:20.690726+00:00,42,50,ok,-0.7796729661045292,0.7579083605600012,0.7779877184695324,0.8170708071020735,0.7796729661045292,15.036309719085693,0.2,5984,pso_trial_050,0.00023326222379608619,0.11581612317958294,192,5,96,96,1.6507156903653724,48,"[1.2659293491575025, 1.4792949175700163, 0.7822924651195562, 1.4002353312093816]"
2026-06-01T08:21:42.374187+00:00,42,51,ok,-0.7820636254469989,0.7619652097262356,0.7833883907503539,0.8146778081127011,0.7820636254469989,21.02331852912903,0.2,5984,pso_trial_051,0.00038735357627045985,0.11155094077638378,128,5,128,128,1.9328903809234856,48,"[1.288821780674541, 0.8461794004596728, 0.7861174391620843, 1.3234099219299826]"
2026-06-01T08:21:57.135180+00:00,42,52,ok,-0.7862658803414752,0.7654715755609066,0.7790537436839687,0.8257311460807601,0.7862658803414752,14.277761459350586,0.2,5984,pso_trial_052,0.0002782984882004179,0.1364079939265459,160,7,96,96,1.8871256656844206,48,"[1.3408689392352013, 1.5, 0.6, 0.9883657271827634]"
2026-06-01T08:22:11.930619+00:00,42,53,ok,-0.7894750195916665,0.7648557270980566,0.7966101694915254,0.8257504071477769,0.7894750195916665,14.267173051834106,0.2,5984,pso_trial_053,0.00039054475134136493,0.1290441806446782,160,7,96,96,1.9284231230093376,48,"[1.3585124462730596, 1.404468208802135, 0.6, 1.3691013878959741]"
2026-06-01T08:22:26.803004+00:00,42,54,ok,-0.7901004089654362,0.7658434163760639,0.7940613026819924,0.8278881341366857,0.7901004089654362,14.27615737915039,0.2,5984,pso_trial_054,0.00035922122482216204,0.12243918273337151,160,7,96,96,1.7287923338168183,48,"[1.3205166023978374, 1.3860322616020373, 0.6, 1.3543350144216273]"
2026-06-01T08:22:49.674758+00:00,42,55,ok,-0.7895241624353383,0.7602236029111666,0.8243099787685775,0.8151678840867981,0.7895241624353383,22.239809274673462,0.2,5984,pso_trial_055,0.0005860484522744392,0.1456722890395793,160,5,128,64,1.8532962776925854,48,"[0.9890333131541993, 1.5, 0.9984362722806371, 1.4940284896813631]"
2026-06-01T08:23:04.695042+00:00,42,56,ok,-0.7844685374407661,0.7614585329550296,0.7893217893217893,0.8195830436629781,0.7844685374407661,14.351619720458984,0.2,5984,pso_trial_056,0.00042717965433157696,0.1114362069919438,160,5,96,96,1.407902532566342,48,"[1.385422230361195, 1.3854846580213225, 0.8323009906322152, 1.4792637811625815]"
2026-06-01T08:23:17.601264+00:00,42,57,ok,-0.7859118564214183,0.7660504932433071,0.7858812529219261,0.8190345307179319,0.7859118564214183,12.383788585662842,0.2,5984,pso_trial_057,0.000528989236104369,0.10875590714558153,128,7,96,64,1.96418277268906,48,"[1.2054720693278052, 1.3112274091774043, 0.6, 1.48185338939803]"
2026-06-01T08:23:32.979831+00:00,42,58,ok,-0.7837795735800502,0.760812165183455,0.7790262172284644,0.8252274918087661,0.7837795735800502,14.700314283370972,0.2,5984,pso_trial_058,0.00044121710565144336,0.14029664528618507,192,7,96,64,1.6158742577224712,48,"[1.455237916496506, 1.366198569217291, 0.6, 1.4578792345885874]"
2026-06-01T08:23:46.390021+00:00,42,59,ok,-0.7817284500408602,0.7613429558716878,0.7718335619570188,0.822300865712042,0.7817284500408602,12.78125810623169,0.2,5984,pso_trial_059,0.00039479244234374045,0.21692415591423703,128,7,96,96,2.110226662663358,48,"[1.3430951815830132, 1.3583876099367223, 0.6, 1.2987542182246874]"
2026-06-01T08:24:01.371972+00:00,42,60,ok,-0.7889877363610336,0.7645620948036733,0.7958393807450411,0.8251293760339622,0.7889877363610336,14.307568788528442,0.2,5984,pso_trial_060,0.00027761676184566,0.10086368856091577,160,7,96,96,1.6448903936620458,48,"[1.365306234140344, 1.4237193331647322, 0.6868083023165439, 1.4043155755450063]"
2026-06-01T08:24:22.717847+00:00,42,61,ok,-0.7838199944741618,0.7584907025754553,0.7992992992992993,0.8157159444219145,0.7838199944741618,20.694613695144653,0.2,5984,pso_trial_061,0.0005425051314015502,0.12698011993709538,128,5,128,96,2.0188532828506083,48,"[1.2502396323282015, 0.7057525137228193, 1.0035128235095065, 1.3006805340553451]"
2026-06-01T08:24:37.639026+00:00,42,62,ok,-0.7884767082555741,0.765169764713896,0.7903992395437263,0.8260399266329361,0.7884767082555741,14.257153034210205,0.2,5984,pso_trial_062,0.00028604535610830356,0.12219167872380543,160,7,96,96,1.7694402778108098,48,"[1.3417775953024182, 1.455981558794886, 0.6, 1.1309288793982986]"
2026-06-01T08:24:52.570139+00:00,42,63,ok,-0.7876832768641643,0.762881595837247,0.7934204160619255,0.8251946524438523,0.7876832768641643,14.2531156539917,0.2,5984,pso_trial_063,0.0002762694110979658,0.10933041127660267,160,7,96,96,1.8232114080987134,48,"[1.35949741879754, 1.440297328862436, 0.6, 1.3980298640120457]"
2026-06-01T08:25:07.358612+00:00,42,64,ok,-0.7895968404403109,0.7635638933127291,0.7984344422700587,0.8270933510997818,0.7895968404403109,14.241119384765625,0.2,5984,pso_trial_064,0.0003526350534776362,0.11689289325187405,160,7,96,96,1.7341660900964952,48,"[1.3142145985519469, 1.3942162450229179, 0.6, 1.3372561716120177]"
2026-06-01T08:25:21.883975+00:00,42,65,ok,-0.7812177513251539,0.7617697750816146,0.7742528735632184,0.8182742969056769,0.7812177513251539,13.902472496032715,0.2,5984,pso_trial_065,0.0004385349423537662,0.14003780771643645,160,5,96,64,1.7552562420173017,48,"[0.9910667275294387, 1.4985842416020096, 0.960321979623429, 1.451753089684793]"
2026-06-01T08:25:36.636945+00:00,42,66,ok,-0.7895121471628442,0.7651724806063678,0.7931034482758621,0.8276840573482933,0.7895121471628442,14.25991702079773,0.2,5984,pso_trial_066,0.00037513725258936533,0.11877453881318437,160,7,96,96,1.5424357574882679,48,"[1.3385428429880124, 1.3780926003813567, 0.7311533713927804, 1.4692446643371193]"
2026-06-01T08:25:49.654286+00:00,42,67,ok,-0.7841648033052112,0.7634030658983683,0.7833020637898687,0.8193428586601781,0.7841648033052112,12.426504373550415,0.2,5984,pso_trial_067,0.0006061362317592635,0.12426158275806731,128,7,96,64,1.9237199564245033,48,"[1.2951483489961626, 1.3266661420609798, 0.6, 1.4203903523886914]"
