row_id,basic_char_len_log,basic_word_count_log,basic_rating_deviation,basic_sentiment_compound,basic_verified_purchase,adv_review_velocity_30d,adv_product_burst_7d,adv_reviewer_behavior_score,adv_time_gap_hours_log
210,6.347389,4.691348,1.0645658,0.9312,1.0,0.0,0.0,0.5584669,8.157623
211,3.5263605,2.0794415,1.0645658,0.0,1.0,0.0,0.0,-0.5764718,8.157623
212,4.7706847,3.2580965,2.9354343,-0.7184,1.0,0.0,0.0,-0.07544097,8.157623
213,4.0430512,2.4849067,0.06456572,0.3919,1.0,0.0,0.0,-0.56605655,8.157623
214,5.267858,3.6635616,1.0645658,0.9634,1.0,0.0,0.0,0.3246648,8.157623
215,3.8501475,1.9459101,1.0645658,0.5719,1.0,0.0,0.0,-0.2062347,8.157623
216,5.0369525,3.3672957,1.0645658,0.1255,1.0,0.0,0.0,-0.16129552,8.157623
217,2.8903718,1.3862944,1.0645658,0.6588,0.0,0.0,0.0,-0.38402936,8.157623
218,6.53814,4.8202815,1.0645658,0.8925,1.0,0.0,0.0,0.5827443,8.157623
219,5.8289456,4.248495,1.0645658,0.5205,0.0,0.0,0.0,0.22626238,8.157623
220,3.9318256,2.5649493,1.0645658,0.7845,0.0,0.0,0.0,-0.07757589,8.157623
221,4.4998097,2.3978953,1.0645658,0.8555,1.0,0.0,0.0,0.09081887,8.157623
222,4.7957907,3.0445225,1.0645658,0.9368,1.0,0.0,0.0,0.20143233,8.157623
223,5.525453,3.871201,1.0645658,0.8794,1.0,0.0,0.0,0.34107098,8.157623
224,5.5529594,3.9318256,0.9354343,0.907,1.0,0.0,0.0,0.32144684,8.157623
225,4.574711,2.944439,1.0645658,0.6211,1.0,0.0,0.0,-0.012768064,8.157623
226,6.0137153,4.0253515,1.0645658,0.9231,1.0,0.0,0.0,0.47688454,8.157623
227,4.3307333,2.5649493,1.0645658,0.8822,1.0,0.0,1.0,0.065376714,8.157623
228,5.288267,3.5553482,1.0645658,0.5076,1.0,0.0,0.0,0.09418408,8.157623
229,6.590301,4.94876,1.0645658,0.8857,1.0,0.0,1.0,0.591335,8.157623
230,4.8520303,3.1780539,1.9354342,-0.3724,1.0,0.0,0.0,-0.1896994,8.157623
231,4.158883,2.5649493,1.0645658,0.6114,1.0,0.0,0.0,-0.11423337,8.157623
232,5.5645204,4.0073333,1.0645658,-0.1416,1.0,0.0,0.0,-0.17675215,8.157623
233,6.4409466,4.5849676,1.0645658,0.5709,1.0,0.0,1.0,0.39423713,8.157623
234,4.787492,3.0910425,1.0645658,0.9071,1.0,0.0,0.0,0.18418062,8.157623
235,5.1817837,3.5263605,0.9354343,-0.0258,1.0,0.0,0.0,-0.24602504,8.157623
236,4.1271343,2.3978953,1.0645658,0.8264,0.0,0.0,0.0,-0.010647667,8.157623
237,4.9767337,3.4011974,1.0645658,0.8626,1.0,0.0,0.0,0.20511493,8.157623
238,5.9939613,4.3438053,0.06456572,0.6733,0.0,0.0,0.0,5.6594124,9.7975645
239,3.0445225,1.609438,1.0645658,0.636,1.0,0.0,0.0,-0.3600369,8.157623
240,4.7004805,3.1780539,0.9354343,-0.5588,1.0,0.0,0.0,-0.6327269,8.157623
241,4.3307333,2.5649493,0.9354343,-0.5994,1.0,0.0,0.0,-0.7394487,8.157623
242,5.6937323,3.988984,1.0645658,0.8885,1.0,0.0,0.0,0.3848028,8.157623
243,5.5174527,3.7612002,1.0645658,0.9059,1.0,0.0,0.0,0.35289052,8.157623
244,1.0986123,0.6931472,1.0645658,0.0,0.0,0.0,0.0,-1.1396368,8.157623
245,3.465736,1.9459101,1.0645658,0.6249,1.0,0.0,0.0,-0.26805612,8.157623
246,2.9957323,1.3862944,1.0645658,0.0,1.0,0.0,1.0,-0.6995617,8.157623
247,5.5093884,3.871201,1.0645658,0.5341,1.0,0.0,0.0,0.1591529,8.157623
248,4.060443,2.5649493,0.06456572,-0.4847,1.0,0.0,0.0,-1.0143903,8.157623
249,4.2341065,2.5649493,1.0645658,0.7096,1.0,0.0,0.0,-0.046107814,8.157623
250,5.7899604,4.158883,1.0645658,0.8674,1.0,0.0,0.0,0.39623618,8.157623
251,3.988984,2.3025851,1.0645658,0.3612,1.0,0.0,0.0,-0.28276023,8.157623
252,3.2580965,1.7917595,0.06456572,0.7579,1.0,0.0,0.0,-0.5592688,8.157623
253,5.0106354,3.4339871,0.06456572,0.68,1.0,0.0,0.0,-0.1929324,8.157623
254,4.0775375,2.3978953,2.9354343,-0.5256,1.0,0.0,0.0,-0.13673621,8.157623
255,4.4308167,2.7725887,1.0645658,0.8805,1.0,0.0,0.0,0.0877158,8.157623
256,6.3189683,4.5849676,1.0645658,0.9586,0.0,0.0,0.0,0.5660138,8.157623
257,6.0684257,4.3820267,2.9354343,-0.9278,1.0,0.0,0.0,0.11753553,8.157623
258,3.3672957,1.7917595,1.0645658,0.0,1.0,0.0,0.0,-0.61337006,8.157623
259,5.241747,3.4965076,1.0645658,0.9517,1.0,0.0,0.0,0.31257,8.157623
260,6.5736804,4.8675346,1.0645658,0.9564,1.0,0.0,0.0,0.6239641,8.157623
261,5.42495,3.6635616,0.06456572,0.855,1.0,0.0,0.0,-0.0065152636,8.157623
262,4.919981,3.3322046,1.0645658,0.9001,1.0,0.0,0.0,0.2113018,8.157623
263,4.882802,3.218876,2.9354343,-0.7346,1.0,0.0,0.0,-0.057793103,8.157623
264,5.7745514,4.158883,1.0645658,0.8434,1.0,0.0,0.0,0.38027668,8.157623
265,5.7776523,4.204693,0.06456572,0.971,0.0,0.0,0.0,0.13516276,8.157623
266,4.691348,3.0445225,0.9354343,-0.0679,1.0,0.0,0.0,-0.3815171,8.157623
